Brand,TechnologyI,TechnologyII,TechnologyIII,TechnologyIV,TypeI,TypeII,Company,Date
Día de la Mujer Scotiabank,Interactivo,Láser,Leds,Body tracking,Evento empleados,Banca,Mediate,2024
MimCun Immersive Cancun | Santuarios,Inmersivo IA,"Contenido Inmersivo 3D


",Inmersivo 2D,Inmersivo Generativo,Narrativa,Entretenimiento,115 grados,2024
MimCun Immersive Cancun | Gran Pakal,Metahuman,"Contenido 3D
","Conteido 2D

",IA,Personaje historiador,Entretenimiento,115 grados,2024
Noticiero Alienigena,Avatar IA,,,,Capsulas,Entretenimiento,115 grados,2024
MimCun Immersive Cancun | El cascanueces,Animacion IA,,,,Narrativa,Entretenimiento,115 grados,2023
MimCun Immersive Cancun | Mayas,Inmersivo IA,"Contenido Inmersivo 3D

",Inmersivo 2D,Inmersivo Generativo,Narrativa,Entretenimiento,115 grados,2023
Bunker Mixx | Cerveza Dos Equis,Laser Mapping,Iluminación LED,Show Control,Laser Mapping,Festival,Bebida alcoholica,Mediate,2023
Cryptomards | Mardy,"Contenido 3D
",Animación 3D,,,Mascota 3D,Galería de Arte,Cryptomards,2023
Banorte | Arena,Gamification App,,,,Evento empleados,Banca,La Negra Brand,2022
Mobil,Videogame,Touchscreen,"Conteido 2D
",,Stand activacion,Petroleo y Aceite,La Negra Brand,2022
Bunker Mixx | Cerveza Dos Equis,Laser Mapping,Laser Mapping,,,Festival,Bebida alcoholica,Mediate,2022
Artechouse | Washington DC,"Contenido Inmersivo 3D
",Inmersivo Generativo,,,Narrativa,Entretenimiento,Intus,2021
Pantone Yellow & Grey | Artechouse,"Contenido Inmersivo 3D
",Inmersivo Generativo,,,Narrativa,Entretenimiento,Intus,2021
Nike | Dance,Streaming,,,,Actividad virtual,Deporte,Intus,2021
Nike | Moda y sostenibilidad,Streaming,,,,Actividad virtual,Deporte,Intus,2021
Mobil,Videogame,Touchscreen,Conteido 2D,,Stand activacion,Petroleo y Aceite,Intus,2021
Givenchy | MakeUp,Streaming,,,,Actividad virtual,Belleza,Intus,2021
Instagram | Chatroom,Streaming,,,,Actividad virtual,Red social,Intus,2021
Mutek | AvShow,Streaming,Show control,Iluminación,,AV live,Festival,Intus,2021
InCon,Streaming,Show control,Iluminación,,AV live,Festival,Intus,2021
Pabellon de la Biodiversidad,App,Video Mapping,Interactivo,Animación 3D,Museográfico,Ciencia y cultura,Intus,2021
Porsche Taycan,Laser Mapping,Video Mapping,Iluminación,Animación 3D,,Automoviles,Intus,2020
Artechouse | Celestial Miami,"Contenido Inmersivo 3D
",Inmersivo Generativo,,,Narrativa,Entretenimiento,Intus,2020
Artechouse | Submerge Miami,"Contenido Inmersivo 3D
",Inmersivo Generativo,,,Narrativa,Entretenimiento,Intus,2020
,,,,,,,,
,,,,,,,,
Artechouse | New York,"Contenido Inmersivo 3D
",Inmersivo Generativo,,,Narrativa,Entretenimiento,Intus,2020
,,,,,,,,
Pantone Blue | Artechouse,Contenido 3D,Generativo,Animación 2D,Inmersivo,Narrativa,Entretenimiento,Intus,2020
Bellas Artes Tunel Interactivo Gob CDMX,Tracking sensor,Generativo,,,Instalacion interactiva,Entretenimiento,Intus,2019
